scenario,lambda_parameter,p1_physical_copies,p2_physical_copies,p3_physical_copies,total_message_copies,noise_parameter,noise_model,trials,seed_base,execution_model,physical_comparisons_per_reached_stage,s5_sample_without_replacement,s7_sample_without_replacement,analytical_final_acceptance,monte_carlo_final_acceptance,monte_carlo_s5_batch_acceptance,monte_carlo_s7_batch_acceptance,s7_reached_rate,analytical_s5_batch_acceptance,analytical_s7_batch_acceptance,false_reject_rate,undetected_attack_rate,mean_s5_fidelity,mean_s5_effective_fidelity,mean_s7_fidelity,mean_s7_effective_fidelity
tamper_p2,8,17,8,8,33,0.02,F_eff=(1-noise)*F+noise/2 (phenomenological state-level replacement),4000,20260903,one physical-copy batch with random S5/S7 sampling without replacement,8,True,True,0.004063644157366841,0.003,0.95925,0.003,0.95925,0.9606930435754368,0.004229909006359688,N/A,0.003,1.0,0.99,1.820235317158377e-33,0.009999999999999998
tamper_p2,1,3,1,1,5,0.05,F_eff=(1-noise)*F+noise/2 (phenomenological state-level replacement),4000,20260903,one physical-copy batch with random S5/S7 sampling without replacement,1,True,True,0.50609375,0.49825,0.988,0.49825,0.988,0.9875,0.5125,N/A,0.49825,1.0,0.9749999999999998,1.8202353171583768e-33,0.025
tamper_p2,2,5,2,2,9,0.05,F_eff=(1-noise)*F+noise/2 (phenomenological state-level replacement),4000,20260903,one physical-copy batch with random S5/S7 sampling without replacement,2,True,True,0.2561308837890625,0.2565,0.97425,0.2565,0.97425,0.9751562500000001,0.26265625,N/A,0.2565,1.0,0.9749999999999998,1.8202353171583768e-33,0.025
tamper_p2,4,9,4,4,17,0.05,F_eff=(1-noise)*F+noise/2 (phenomenological state-level replacement),4000,20260903,one physical-copy batch with random S5/S7 sampling without replacement,4,True,True,0.06560302963056623,0.0675,0.94125,0.0675,0.94125,0.9509297119140627,0.06898830566406247,N/A,0.0675,1.0,0.9749999999999998,1.820235317158377e-33,0.025000000000000005
tamper_p2,8,17,8,8,33,0.05,F_eff=(1-noise)*F+noise/2 (phenomenological state-level replacement),4000,20260903,one physical-copy batch with random S5/S7 sampling without replacement,8,True,True,0.00430375749670895,0.00475,0.9055,0.00475,0.9055,0.9042673170009622,0.004759386318398114,N/A,0.00475,1.0,0.9749999999999998,1.8202353171583768e-33,0.025000000000000005
tamper_p3,1,3,1,1,5,0.0,F_eff=(1-noise)*F+noise/2 (phenomenological state-level replacement),4000,20260903,one physical-copy batch with random S5/S7 sampling without replacement,1,True,True,0.5555555555555556,0.55625,0.55625,0.55625,0.55625,0.5555555555555556,1.0,N/A,0.55625,0.11111111111111117,0.11111111111111117,1.0,1.0
tamper_p3,2,5,2,2,9,0.0,F_eff=(1-noise)*F+noise/2 (phenomenological state-level replacement),4000,20260903,one physical-copy batch with random S5/S7 sampling without replacement,2,True,True,0.308641975308642,0.3065,0.3065,0.3065,0.3065,0.308641975308642,1.0,N/A,0.3065,0.11111111111111117,0.11111111111111117,1.0,1.0
tamper_p3,4,9,4,4,17,0.0,F_eff=(1-noise)*F+noise/2 (phenomenological state-level replacement),4000,20260903,one physical-copy batch with random S5/S7 sampling without replacement,4,True,True,0.09525986892242037,0.09325,0.09325,0.09325,0.09325,0.09525986892242037,1.0,N/A,0.09325,0.11111111111111116,0.11111111111111116,1.0,1.0
tamper_p3,8,17,8,8,33,0.0,F_eff=(1-noise)*F+noise/2 (phenomenological state-level replacement),4000,20260903,one physical-copy batch with random S5/S7 sampling without replacement,8,True,True,0.009074442627116711,0.009,0.009,0.009,0.009,0.009074442627116711,1.0,N/A,0.009,0.11111111111111116,0.11111111111111116,1.0,1.0
tamper_p3,1,3,1,1,5,0.02,F_eff=(1-noise)*F+noise/2 (phenomenological state-level replacement),4000,20260903,one physical-copy batch with random S5/S7 sampling without replacement,1,True,True,0.5566472222222222,0.56075,0.56375,0.56075,0.56375,0.5594444444444444,0.995,N/A,0.56075,0.11111111111111117,0.11888888888888895,1.0,0.9900000000000001
tamper_p3,2,5,2,2,9,0.02,F_eff=(1-noise)*F+noise/2 (phenomenological state-level replacement),4000,20260903,one physical-copy batch with random S5/S7 sampling without replacement,2,True,True,0.30985613000771606,0.3155,0.31975,0.3155,0.31975,0.31297808641975305,0.990025,N/A,0.3155,0.11111111111111117,0.11888888888888895,1.0,0.99
tamper_p3,4,9,4,4,17,0.02,F_eff=(1-noise)*F+noise/2 (phenomenological state-level replacement),4000,20260903,one physical-copy batch with random S5/S7 sampling without replacement,4,True,True,0.0960108213033586,0.09175,0.09375,0.09175,0.09375,0.0979552825789704,0.980149500625,N/A,0.09175,0.11111111111111116,0.11888888888888893,1.0,0.99
tamper_p3,8,17,8,8,33,0.02,F_eff=(1-noise)*F+noise/2 (phenomenological state-level replacement),4000,20260903,one physical-copy batch with random S5/S7 sampling without replacement,8,True,True,0.009218077807345458,0.0075,0.008,0.0075,0.008,0.009595237385125943,0.9606930435754368,N/A,0.0075,0.11111111111111116,0.11888888888888895,1.0,0.9900000000000001
tamper_p3,1,3,1,1,5,0.05,F_eff=(1-noise)*F+noise/2 (phenomenological state-level replacement),4000,20260903,one physical-copy batch with random S5/S7 sampling without replacement,1,True,True,0.5582118055555556,0.54375,0.55275,0.54375,0.55275,0.5652777777777778,0.9875,N/A,0.54375,0.11111111111111117,0.13055555555555556,1.0,0.9749999999999998
tamper_p3,2,5,2,2,9,0.05,F_eff=(1-noise)*F+noise/2 (phenomenological state-level replacement),4000,20260903,one physical-copy batch with random S5/S7 sampling without replacement,2,True,True,0.31160041986159337,0.3065,0.31625,0.3065,0.31625,0.3195389660493827,0.9751562500000001,N/A,0.3065,0.11111111111111117,0.13055555555555556,1.0,0.9749999999999996
tamper_p3,4,9,4,4,17,0.05,F_eff=(1-noise)*F+noise/2 (phenomenological state-level replacement),4000,20260903,one physical-copy batch with random S5/S7 sampling without replacement,4,True,True,0.09709482165792128,0.085,0.089,0.085,0.089,0.10210515082390856,0.9509297119140627,N/A,0.085,0.11111111111111116,0.13055555555555556,1.0,0.9749999999999998
tamper_p3,8,17,8,8,33,0.05,F_eff=(1-noise)*F+noise/2 (phenomenological state-level replacement),4000,20260903,one physical-copy batch with random S5/S7 sampling without replacement,8,True,True,0.009427404392783539,0.00875,0.00925,0.00875,0.00925,0.010425461824773113,0.9042673170009622,N/A,0.00875,0.11111111111111116,0.1305555555555556,1.0,0.9749999999999999
impersonation_attempt,1,3,1,1,5,0.0,F_eff=(1-noise)*F+noise/2 (phenomenological state-level replacement),4000,20260903,one physical-copy batch with random S5/S7 sampling without replacement,1,True,True,0.7500000000000002,0.75175,0.75175,0.75175,0.75175,0.7500000000000002,1.0,N/A,0.75175,0.4918333333333337,0.4918333333333337,1.0,1.0
impersonation_attempt,2,5,2,2,9,0.0,F_eff=(1-noise)*F+noise/2 (phenomenological state-level replacement),4000,20260903,one physical-copy batch with random S5/S7 sampling without replacement,2,True,True,0.5625000000000003,0.55,0.55,0.55,0.55,0.5625000000000003,1.0,N/A,0.55,0.49225000000000035,0.49225000000000035,1.0,1.0
